Disignator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Nano_v2.x,Arduino_Nano,142.11,-118.05,180,top
D1,LED,LED_0603_1608Metric,141,-139,90,top
D2,LED,LED_0603_1608Metric,137,-139,90,top
D3,LED,LED_0603_1608Metric,132.5,-139,90,top
D4,LED,LED_0603_1608Metric,128,-139,90,top
D5,LED,LED_0603_1608Metric,149.5,-92.5,90,top
D6,LED,LED_0603_1608Metric,120,-92.5,90,top
R1,47,LED_0201_0603Metric,141,-133.9675,90,top
R2,47,LED_0201_0603Metric,137,-133.9425,90,top
R3,47,LED_0201_0603Metric,132.5,-134,90,top
R4,47,LED_0201_0603Metric,128,-134,90,top
R5,47,LED_0201_0603Metric,149.5,-89,180,top
R6,47,LED_0201_0603Metric,120,-89.18,0,top
